Debtor;Tuition fees up to date;Gender;Scholarship holder;Age at enrollment;Curricular units 1st sem (approved);Curricular units 1st sem (grade);Curricular units 2nd sem (approved);Curricular units 2nd sem (grade);Target
0;1;0;1;18;5;11.2;5;11.8;1
0;1;0;1;20;5;13.4;5;13.666666666666666;1
0;1;0;0;25;2;10.5;0;0.0;0
0;1;0;0;18;5;16.2;5;16.4;1
0;1;0;1;18;7;14.542857142857144;8;14.88181818181818;1
0;1;0;0;19;7;13.694285714285714;8;14.355555555555554;1
0;1;0;1;18;6;11.285714285714286;6;11.857142857142858;1
1;0;0;0;26;0;0.0;0;0.0;0
0;1;0;1;19;7;13.058571428571428;7;13.058571428571428;1
0;1;0;0;19;7;14.3;8;14.055555555555555;1
0;1;0;0;19;5;11.8;8;12.0;1
0;1;0;0;18;6;10.571428571428571;3;11.666666666666666;1
0;1;0;0;19;6;13.333333333333334;6;13.333333333333334;1
1;1;0;0;18;6;11.857142857142858;5;11.0;1
1;1;0;0;26;0;0.0;0;0.0;0
0;1;0;0;20;6;12.0;6;13.0;1
0;1;0;0;19;6;12.666666666666666;6;11.666666666666666;1
0;1;0;1;18;6;12.166666666666666;6;13.666666666666666;1
0;1;0;0;19;6;13.333333333333334;6;14.666666666666666;1
1;1;0;0;40;7;15.0;7;14.571428571428571;1
0;1;0;1;18;8;13.39125;8;13.39125;1
0;1;0;0;19;5;12.166666666666666;6;12.428571428571429;1
0;1;0;0;18;4;11.25;4;12.5;1
0;1;0;0;18;0;0.0;0;0.0;0
0;1;0;0;33;6;12.833333333333334;6;12.857142857142858;1
0;1;0;0;35;6;14.0;6;13.1;1
0;1;0;0;18;6;13.5;6;12.5;1
0;1;0;0;39;5;11.0;5;11.666666666666666;1
0;1;0;0;44;6;13.0;6;13.833333333333334;1
0;1;0;0;24;4;12.6;4;11.5;0
0;1;0;1;20;6;13.666666666666666;6;13.333333333333334;1
0;0;0;0;19;0;0.0;0;0.0;0
1;1;0;1;18;6;14.2;6;14.2;1
1;0;0;0;22;5;11.0;0;0.0;0
0;1;0;0;18;6;15.0;6;16.428571428571427;1
0;1;0;0;24;6;12.585714285714284;7;13.44285714285714;1
0;1;0;0;33;0;0.0;0;0.0;0
0;1;0;0;26;0;0.0;0;0.0;0
0;1;0;0;18;6;11.666666666666666;6;11.833333333333334;1
1;1;0;0;19;3;12.666666666666666;2;10.0;0
0;1;0;1;22;8;13.5;7;13.714285714285714;1
0;1;0;1;21;6;16.153846153846153;6;15.75;1
0;1;0;1;21;6;14.033333333333331;6;14.033333333333331;1
0;1;0;1;19;7;13.857142857142858;6;13.666666666666666;1
0;1;0;0;18;7;13.414285714285716;7;13.414285714285716;0
0;1;0;0;50;11;13.545454545454543;7;13.571428571428571;1
0;1;0;1;19;6;13.833333333333334;6;14.428571428571429;1
0;1;0;0;35;5;12.0;5;12.857142857142858;1
0;1;0;0;31;0;0.0;0;0.0;0
0;0;0;0;34;0;0.0;0;0.0;0
0;1;0;1;18;7;15.135714285714286;8;15.287499999999998;1
0;1;0;1;26;5;12.74;6;10.978571428571428;0
0;1;0;1;19;6;13.428571428571429;6;13.166666666666666;1
0;1;0;0;20;9;12.555555555555555;8;11.11111111111111;1
0;1;0;0;19;6;11.5;6;11.166666666666666;1
0;1;0;0;18;6;13.666666666666666;6;12.333333333333334;1
0;1;0;0;28;11;11.272727272727272;10;12.0;1
0;1;0;1;21;6;14.666666666666666;6;14.166666666666666;1
1;0;0;0;18;5;13.0;5;11.4;0
0;0;0;0;20;2;10.5;2;12.333333333333334;0
0;1;0;0;18;6;14.857142857142858;6;14.0;1
0;1;0;1;19;7;12.86;7;12.86;1
0;1;0;0;20;11;11.727272727272728;11;12.0;1
0;1;0;1;22;6;13.142857142857142;3;12.0;1
1;1;0;0;18;5;11.8;4;13.714285714285714;0
0;1;0;0;19;3;10.666666666666666;0;0.0;0
0;1;0;0;19;7;14.731428571428571;7;14.731428571428571;1
0;1;0;0;18;0;0.0;0;0.0;1
0;1;0;0;21;13;13.615384615384617;12;14.25;1
0;1;0;0;27;5;15.8;5;14.8;1
0;1;0;0;19;6;14.666666666666666;6;14.571428571428571;1
0;1;0;0;25;0;0.0;0;0.0;0
0;1;0;1;18;7;14.654285714285717;7;14.654285714285717;1
0;1;0;0;24;7;12.401428571428571;7;12.401428571428571;1
0;1;0;0;20;7;11.5875;7;14.071428571428571;1
0;1;0;0;26;5;14.0;5;15.6;1
0;1;0;1;20;6;12.333333333333334;6;11.833333333333334;1
0;1;0;0;18;5;14.0;5;15.4;1
0;1;0;0;19;6;15.23076923076923;6;12.375;1
0;1;0;0;23;5;11.6;3;11.0;0
0;1;0;1;18;6;11.6;6;11.6;1
0;1;0;0;18;0;0.0;0;0.0;0
0;1;0;1;19;7;12.901428571428571;8;13.094444444444443;1
0;1;0;0;30;7;14.142857142857142;5;14.8;1
0;1;0;0;29;0;0.0;0;0.0;0
0;1;0;0;19;8;13.25375;8;13.25375;1
0;1;0;0;20;7;13.785714285714286;8;14.1;1
0;1;0;0;20;6;13.916666666666666;6;13.916666666666666;1
0;1;0;0;19;6;13.5;6;13.571428571428571;1
0;1;0;0;21;0;0.0;0;0.0;0
0;1;0;0;19;5;11.5;4;14.6;1
0;1;0;1;18;7;12.082857142857142;7;12.082857142857142;1
0;1;0;1;27;6;11.833333333333334;5;12.8;1
0;1;0;1;19;5;13.4;5;12.4;1
0;1;0;1;19;0;0.0;0;0.0;0
0;1;0;0;19;5;14.2;6;14.571428571428571;1
0;1;0;1;18;7;13.814285714285717;7;13.814285714285717;1
0;1;0;1;18;6;14.5;6;13.666666666666666;1
0;1;0;0;19;0;0.0;0;0.0;0
0;1;0;0;36;6;11.3;6;11.3;1
0;1;0;0;19;7;12.3;7;12.3;1
0;1;0;1;18;7;12.694285714285714;7;12.694285714285714;1
0;1;0;0;18;4;11.0;4;11.0;1
0;1;0;1;19;6;13.0;6;14.166666666666666;1
0;1;0;1;19;7;14.4125;8;16.05;1
0;1;0;0;18;7;12.92875;8;14.0625;0
0;1;0;0;20;6;13.333333333333334;5;12.8;1
0;1;0;0;20;7;14.402857142857142;7;14.402857142857142;1
0;1;0;1;18;7;13.381428571428572;7;13.381428571428572;1
0;1;0;0;18;7;14.13125;8;13.98375;1
0;1;0;0;19;5;11.714285714285714;5;12.6;1
0;1;0;0;44;6;11.166666666666666;2;11.0;1
0;1;0;0;32;0;0.0;0;0.0;0
0;1;0;0;22;5;13.6;5;12.0;0
0;1;0;0;36;12;13.846153846153848;11;14.090909090909092;1
0;1;0;1;18;6;12.5;6;13.333333333333334;1
0;1;0;0;20;5;16.4;5;14.6;1
0;1;0;1;20;11;13.818181818181818;11;13.454545454545457;1
0;1;0;0;19;5;10.6;4;10.5;1
1;1;0;0;24;5;10.2;5;12.2;1
0;1;0;0;27;9;11.444444444444445;5;10.8;0
0;1;0;1;23;16;13.0;13;13.266666666666667;1
0;1;0;1;18;8;13.31;8;13.31;1
0;1;0;1;18;5;10.571428571428571;5;12.2;1
0;1;0;1;20;7;13.487142857142857;7;13.487142857142857;1
0;1;0;1;20;6;12.333333333333334;6;11.833333333333334;1
0;1;0;0;23;6;11.875;5;12.833333333333334;0
0;1;0;0;20;6;13.966666666666669;6;13.966666666666669;1
0;0;0;0;28;0;0.0;0;0.0;0
0;1;0;0;21;4;11.5;5;12.8;1
0;1;0;0;21;2;12.5;0;0.0;0
0;1;0;0;28;0;0.0;0;0.0;0
0;1;0;0;18;6;11.98;7;13.225;1
0;1;0;0;19;6;11.614285714285714;8;14.0375;1
0;1;0;1;18;7;14.314285714285717;7;14.314285714285717;1
0;1;0;0;19;0;0.0;0;0.0;0
0;1;0;1;20;6;12.766666666666666;7;12.128571428571428;1
0;1;0;1;18;6;12.666666666666666;5;12.2;1
0;1;0;0;20;6;11.5;4;10.571428571428571;0
0;1;0;0;31;5;11.4;4;11.75;0
0;1;0;1;19;7;14.70625;8;14.4775;1
0;1;0;1;19;6;11.814285714285717;7;13.542857142857144;1
0;1;0;0;23;6;13.0;6;11.875;1
0;1;0;0;19;6;14.857142857142858;6;13.333333333333334;1
0;1;0;0;20;6;12.6;6;12.6;1
1;0;0;0;27;2;11.5;1;11.0;0
0;1;0;0;29;1;10.0;0;0.0;0
0;1;0;0;18;5;11.8;5;12.2;1
0;1;0;0;18;5;11.8;6;12.666666666666666;1
0;1;0;0;18;8;12.77125;8;12.77125;1
0;1;0;0;18;6;12.666666666666666;5;14.6;1
0;0;0;0;28;1;12.0;0;0.0;0
0;1;0;1;18;7;11.721428571428572;7;11.721428571428572;1
0;1;0;0;18;6;12.666666666666666;6;13.666666666666666;1
0;1;0;0;18;4;13.0;5;14.0;0
0;1;0;0;21;0;0.0;0;0.0;0
0;0;0;0;32;0;0.0;0;0.0;0
0;1;0;0;28;4;12.5;4;11.75;1
0;0;0;0;40;0;0.0;0;0.0;0
1;0;0;0;39;0;0.0;0;0.0;0
1;0;0;0;39;0;0.0;0;0.0;0
0;1;0;0;50;6;12.5;5;12.4;1
0;1;0;0;23;5;12.8;3;11.666666666666666;0
0;1;0;0;48;1;10.0;1;11.0;0
0;1;0;0;23;4;11.25;5;10.2;0
0;1;0;1;18;7;12.61;7;12.61;1
0;1;0;0;18;2;12.0;5;12.6;1
0;0;0;0;20;5;13.0;6;13.5;1
0;1;0;1;18;4;12.0;5;13.0;1
0;1;0;0;18;4;12.0;0;0.0;0
0;1;1;0;31;1;12.0;1;11.0;0
0;1;1;0;24;0;0.0;0;0.0;1
1;0;1;0;26;0;0.0;0;0.0;0
1;1;1;0;18;5;13.625;4;11.75;0
0;1;1;0;22;0;0.0;0;0.0;0
0;1;1;0;18;7;11.69;7;11.69;1
1;0;1;0;20;0;0.0;0;0.0;0
0;1;1;0;25;0;0.0;0;0.0;1
0;1;1;0;24;4;11.5;5;11.285714285714286;1
0;1;1;0;27;1;14.0;0;0.0;0
0;1;1;0;21;5;11.0;5;12.4;1
0;1;1;0;21;6;12.857142857142858;6;13.166666666666666;1
0;1;1;0;19;4;12.5;6;11.333333333333334;0
0;1;1;0;28;7;14.528571428571428;8;15.018181818181818;1
0;1;1;1;21;6;13.0;6;12.625;1
0;1;1;1;18;7;15.957142857142856;8;15.188888888888888;1
0;1;1;0;19;5;13.25;5;11.0;1
0;1;1;0;19;3;12.0;3;12.0;0
1;0;1;0;25;4;13.0;4;13.75;0
1;1;1;0;21;9;11.77777777777778;3;13.666666666666666;0
0;1;1;0;19;2;11.0;0;0.0;0
0;1;1;0;20;0;0.0;0;0.0;0
0;1;1;0;25;14;12.428571428571429;6;10.857142857142858;0
0;1;1;0;18;0;0.0;0;0.0;1
0;1;1;0;23;8;12.5075;8;12.5075;1
0;1;1;0;21;11;12.090909090909092;11;12.0;1
0;1;1;0;25;1;10.0;2;11.333333333333334;0
0;1;1;0;18;6;13.5;5;13.2;1
0;1;1;0;22;6;14.166666666666666;6;13.625;1
0;1;1;0;27;6;14.0;6;14.714285714285714;1
0;1;1;0;25;0;0.0;0;0.0;0
0;1;1;0;18;3;11.666666666666666;3;11.333333333333334;0
0;1;1;0;20;5;14.6;5;14.2;1
0;1;1;0;27;5;13.0;5;11.5;1
0;1;1;0;20;6;12.166666666666666;6;12.0;1
0;1;1;0;22;0;0.0;1;12.0;0
0;1;1;0;19;3;10.5;3;10.8;0
0;1;1;0;19;0;0.0;0;0.0;1
0;0;1;0;29;0;0.0;0;0.0;0
0;1;1;0;19;7;13.828571428571427;7;13.828571428571427;1
0;1;0;0;20;6;11.5;6;11.666666666666666;1
0;1;0;0;20;4;13.5;6;13.625;1
0;1;0;0;31;0;0.0;0;0.0;0
0;1;0;0;18;7;12.5375;7;12.614285714285714;1
0;1;0;0;18;4;12.0;4;12.8;1
0;1;0;0;19;5;11.8;5;11.6;1
0;1;0;1;18;5;15.0;5;15.2;1
0;1;0;0;19;3;12.0;5;13.2;1
0;1;0;1;18;6;12.833333333333334;6;12.285714285714286;1
0;1;0;0;19;6;11.666666666666666;3;12.0;1
0;1;0;0;19;7;12.1625;8;13.825;1
0;1;0;0;18;6;13.833333333333334;6;14.555555555555555;1
0;1;0;1;20;6;12.125;6;13.571428571428571;1
0;1;0;0;29;11;11.454545454545457;11;11.545454545454543;0
0;0;0;1;20;4;12.0;3;10.0;0
1;0;0;0;31;6;12.666666666666666;5;12.6;0
0;1;0;0;20;6;12.666666666666666;6;13.77777777777778;1
0;1;0;0;21;18;11.88888888888889;13;11.461538461538462;1
0;1;0;0;23;0;0.0;0;0.0;0
1;0;0;0;21;4;13.0;4;11.6;0
0;1;0;0;24;7;16.885714285714283;8;15.744444444444444;1
0;1;0;0;27;6;12.5;6;12.333333333333334;1
0;1;0;1;18;7;13.055555555555555;8;15.8125;1
0;0;0;0;21;0;0.0;0;0.0;0
1;1;0;1;19;0;0.0;0;0.0;0
0;1;0;1;19;7;12.355714285714283;7;12.355714285714283;1
0;1;0;0;18;0;0.0;0;0.0;0
1;1;0;1;20;7;13.857142857142858;7;12.571428571428571;1
0;1;0;0;24;5;13.0;6;14.166666666666666;1
0;1;0;0;20;6;12.833333333333334;6;11.166666666666666;1
0;1;0;1;19;7;12.357142857142858;7;12.357142857142858;1
0;1;0;1;18;7;13.857142857142858;7;13.857142857142858;1
0;1;0;1;20;6;12.333333333333334;6;10.666666666666666;1
0;1;0;0;20;7;12.847142857142858;8;13.788888888888888;1
0;1;0;1;19;6;12.339999999999998;8;13.01875;1
0;1;0;0;20;6;13.833333333333334;6;12.5;1
