Curricular units 2nd sem (approved);Curricular units 2nd sem (grade);Curricular units 1st sem (approved);Curricular units 1st sem (grade);Tuition fees up to date;Scholarship holder;Target
0;0.0;0;0.0;1;0;0
10;13.3;6;12.166666666666666;1;0;0
5;11.0;6;11.0;1;0;1
7;13.08;7;13.08;1;1;1
5;11.6;4;10.5;1;1;1
5;11.2;6;10.666666666666666;1;0;1
0;0.0;0;0.0;1;0;0
6;13.5;6;14.0;0;0;1
0;0.0;2;12.0;1;0;0
0;0.0;3;12.666666666666666;1;0;0
6;12.333333333333334;8;11.875;1;0;1
6;13.333333333333334;6;13.666666666666666;1;0;1
8;14.47777777777778;7;13.75;1;1;1
0;0.0;4;11.96;0;0;0
5;13.4;8;12.875;1;0;0
0;0.0;0;0.0;1;0;1
0;0.0;0;0.0;1;0;0
13;14.23076923076923;18;14.63157894736842;1;0;1
0;0.0;0;0.0;1;0;0
11;12.272727272727272;10;13.0;1;0;1
0;0.0;0;0.0;1;0;0
4;13.25;4;14.2;1;0;0
5;12.3;6;13.266666666666666;1;0;0
6;15.0;6;13.857142857142858;1;0;1
5;12.8;5;13.4;1;0;1
6;12.571428571428571;6;12.666666666666666;1;0;1
6;12.516666666666666;6;12.516666666666666;1;0;0
5;11.4;5;13.142857142857142;1;0;1
5;14.0;5;12.6;1;0;1
2;11.0;3;11.0;1;0;0
4;11.25;5;10.8;1;0;1
0;0.0;0;0.0;1;0;0
5;14.2;5;12.8;1;1;1
6;12.2;6;14.166666666666666;1;0;1
0;0.0;5;12.1;1;0;0
5;13.77777777777778;6;14.166666666666666;1;0;1
6;13.666666666666666;6;13.0;1;0;1
8;15.011111111111113;7;13.467142857142855;1;0;1
7;13.742857142857144;7;13.2375;1;1;0
6;13.0;6;12.333333333333334;1;0;1
5;14.6;5;12.4;1;0;1
0;0.0;5;14.0;1;0;0
7;11.714285714285714;9;11.666666666666666;1;0;1
4;12.5;5;12.0;0;1;0
4;11.5;4;12.2;1;0;1
6;14.833333333333334;6;14.833333333333334;1;1;1
8;17.5875;7;17.125;1;0;1
6;12.666666666666666;6;12.666666666666666;1;0;1
5;12.0;6;12.666666666666666;1;1;1
6;11.5;6;11.333333333333334;1;1;1
8;12.33125;7;13.605;1;1;1
5;10.8;5;12.0;1;1;1
0;0.0;0;0.0;1;0;0
3;11.666666666666666;5;11.2;1;0;0
5;14.166666666666666;5;13.375;1;0;1
7;14.178571428571429;6;13.863333333333337;1;1;1
5;13.4;5;12.4;1;0;1
5;11.8;6;13.333333333333334;1;0;1
3;10.0;3;12.666666666666666;1;0;0
4;11.5;6;12.0;1;0;0
5;11.8;5;10.6;1;1;1
6;11.857142857142858;6;12.25;1;1;1
6;11.833333333333334;4;11.0;1;0;1
5;12.6;5;11.0;1;1;1
6;13.0;6;13.166666666666666;1;0;0
7;12.761111111111113;7;12.855555555555554;1;1;1
8;15.355;7;14.91875;1;0;1
3;11.0;4;11.5;1;0;0
5;14.2;5;14.2;1;0;1
6;13.0;6;12.5;1;1;1
4;11.0;5;11.666666666666666;1;0;1
7;14.257142857142856;7;14.257142857142856;1;0;1
2;11.333333333333334;3;12.0;1;0;0
8;13.5625;7;12.457142857142856;1;0;1
6;11.683333333333332;6;11.683333333333332;1;0;1
5;12.0;3;11.666666666666666;1;0;1
6;13.166666666666666;4;11.75;0;0;0
5;12.0;5;13.2;1;0;1
4;11.95;4;11.95;1;0;0
5;10.4;5;12.4;1;0;0
6;14.583333333333334;6;14.35;1;0;0
19;12.789473684210526;21;12.61904761904762;1;0;1
0;0.0;5;12.0;0;0;0
0;0.0;6;12.166666666666666;0;0;0
0;0.0;0;0.0;1;0;0
3;10.571428571428571;3;10.0;0;0;0
6;13.05;6;13.05;1;1;1
0;0.0;2;11.0;1;0;0
6;12.0;6;11.5;1;0;1
6;12.5;6;12.0;1;1;1
0;0.0;0;0.0;1;0;0
0;0.0;0;0.0;1;0;0
7;12.242857142857144;7;12.242857142857144;1;0;1
0;0.0;0;0.0;1;0;0
8;12.93375;8;12.93375;1;0;1
0;0.0;0;0.0;1;0;0
7;14.428571428571429;7;12.571428571428571;1;0;1
4;14.333333333333334;4;13.75;1;0;1
6;11.333333333333334;6;11.166666666666666;1;0;1
7;12.324285714285711;7;12.324285714285711;1;0;1
6;11.714285714285714;6;12.166666666666666;1;0;1
4;11.25;5;11.142857142857142;1;1;1
4;10.75;4;11.0;1;0;1
7;12.914285714285713;7;12.914285714285713;1;0;1
6;14.166666666666666;6;13.833333333333334;1;1;1
5;13.4;6;13.857142857142858;1;0;1
5;12.8;6;13.714285714285714;1;1;0
7;12.642857142857142;7;12.642857142857142;1;1;1
6;12.916666666666666;6;12.916666666666666;1;1;1
6;15.857142857142858;6;15.625;1;1;1
0;0.0;0;0.0;1;1;0
6;12.0;6;11.714285714285714;1;0;1
5;11.6;5;11.6;1;1;1
0;0.0;1;10.0;1;0;0
0;0.0;1;10.0;1;1;0
2;13.5;0;0.0;1;0;0
3;12.333333333333334;4;13.0;1;1;1
6;14.5;6;13.333333333333334;1;1;1
2;12.5;4;11.25;1;0;0
7;12.19285714285714;5;13.85;1;1;1
7;14.9125;6;13.741666666666667;1;1;1
5;15.8;6;15.333333333333334;1;0;1
5;13.8;5;11.0;1;0;1
6;12.857142857142858;6;12.0;1;1;1
0;0.0;0;0.0;1;0;0
7;11.571428571428571;7;11.571428571428571;1;1;1
3;12.666666666666666;6;12.857142857142858;1;0;1
0;0.0;0;0.0;1;0;0
5;13.2;5;13.0;1;0;1
5;12.0;5;11.0;1;1;1
1;15.0;3;12.0;1;0;0
6;13.0;5;12.6;1;1;1
6;13.166666666666666;5;13.4;1;1;1
6;11.571428571428571;6;11.333333333333334;1;1;1
4;14.25;4;13.5;0;0;0
3;10.333333333333334;3;11.75;0;0;0
5;13.6;5;11.6;1;1;1
0;0.0;0;0.0;0;0;0
10;12.363636363636363;9;12.9;1;1;1
8;13.22;8;13.22;1;0;1
7;13.151428571428571;7;13.151428571428571;1;1;1
3;11.333333333333334;3;12.75;0;0;0
4;12.25;6;11.333333333333334;1;0;1
5;14.142857142857142;6;13.25;1;1;1
6;12.833333333333334;6;15.0;1;1;0
5;13.0;5;14.4;1;0;1
5;10.8;5;12.4;1;0;1
0;0.0;1;16.0;0;1;0
5;12.333333333333334;5;13.571428571428571;1;0;1
5;12.666666666666666;5;11.666666666666666;1;1;1
2;13.0;6;11.833333333333334;0;0;0
5;10.6;6;11.166666666666666;1;1;1
0;0.0;0;0.0;1;0;0
6;12.166666666666666;8;11.75;0;0;0
6;14.0;6;14.0;1;0;1
6;12.0;6;12.833333333333334;1;0;1
3;11.666666666666666;4;12.25;1;0;1
7;14.828571428571427;7;14.828571428571427;1;0;1
5;12.8;5;11.4;1;1;1
6;12.5;6;13.0;1;1;1
7;13.671428571428573;7;13.671428571428573;1;1;1
5;12.8;6;12.666666666666666;1;1;1
1;13.0;2;10.0;0;0;0
5;12.333333333333334;5;13.5;1;0;1
8;13.55;7;12.67;1;0;1
6;15.428571428571429;6;14.5;1;0;1
8;15.3875;7;13.685714285714283;1;0;1
3;10.666666666666666;5;11.0;1;0;0
5;13.2;7;11.555555555555555;0;0;0
7;13.812857142857142;7;14.00375;1;1;1
4;11.4;4;12.0;1;1;1
6;14.166666666666666;5;14.166666666666666;1;1;1
5;13.8;5;14.0;1;0;1
6;12.833333333333334;5;13.8;1;1;1
6;11.857142857142858;5;12.8;1;0;1
6;13.833333333333334;6;12.166666666666666;1;0;1
4;11.5;4;12.0;1;0;1
6;11.5;6;10.833333333333334;1;1;1
8;13.385;8;13.385;1;0;1
6;14.5;6;15.666666666666666;1;0;1
6;13.833333333333334;6;14.333333333333334;1;1;1
6;11.666666666666666;6;11.666666666666666;1;1;1
2;11.333333333333334;5;12.0;1;1;0
7;14.725714285714288;7;14.725714285714288;1;1;1
6;13.666666666666666;6;14.166666666666666;1;1;1
6;12.333333333333334;6;11.571428571428571;1;0;1
8;13.1375;7;12.5;1;0;1
8;12.86;8;12.86;1;0;1
6;13.714285714285714;6;12.25;1;0;1
5;12.2;4;12.0;1;1;1
8;16.168888888888887;7;15.116666666666667;1;1;1
4;10.25;2;12.5;0;0;0
0;0.0;0;0.0;1;0;0
4;14.6;6;11.875;1;0;1
0;0.0;1;11.0;1;0;0
5;13.2;5;15.2;1;0;1
2;11.0;5;11.6;0;0;0
6;15.142857142857142;6;14.833333333333334;1;0;1
3;11.333333333333334;3;11.333333333333334;1;0;0
5;11.8;5;11.2;1;1;1
5;13.666666666666666;5;13.4;1;1;1
0;0.0;2;10.5;1;0;0
5;16.4;5;16.2;1;0;1
8;14.88181818181818;7;14.542857142857144;1;1;1
8;14.355555555555554;7;13.694285714285714;1;0;1
6;11.857142857142858;6;11.285714285714286;1;1;1
0;0.0;0;0.0;0;0;0
7;13.058571428571428;7;13.058571428571428;1;1;1
8;14.055555555555555;7;14.3;1;0;1
8;12.0;5;11.8;1;0;1
3;11.666666666666666;6;10.571428571428571;1;0;1
6;13.333333333333334;6;13.333333333333334;1;0;1
5;11.0;6;11.857142857142858;1;0;1
0;0.0;0;0.0;1;0;0
6;13.0;6;12.0;1;0;1
6;11.666666666666666;6;12.666666666666666;1;0;1
6;13.666666666666666;6;12.166666666666666;1;1;1
6;14.666666666666666;6;13.333333333333334;1;0;1
7;14.571428571428571;7;15.0;1;0;1
8;13.39125;8;13.39125;1;1;1
6;12.428571428571429;5;12.166666666666666;1;0;1
4;12.5;4;11.25;1;0;1
0;0.0;0;0.0;1;0;0
6;12.857142857142858;6;12.833333333333334;1;0;1
6;13.1;6;14.0;1;0;1
6;12.5;6;13.5;1;0;1
5;11.666666666666666;5;11.0;1;0;1
6;13.833333333333334;6;13.0;1;0;1
4;11.5;4;12.6;1;0;0
6;13.333333333333334;6;13.666666666666666;1;1;1
0;0.0;0;0.0;0;0;0
6;14.2;6;14.2;1;1;1
0;0.0;5;11.0;0;0;0
6;16.428571428571427;6;15.0;1;0;1
7;13.44285714285714;6;12.585714285714284;1;0;1
0;0.0;0;0.0;1;0;0
0;0.0;0;0.0;1;0;0
6;11.833333333333334;6;11.666666666666666;1;0;1
2;10.0;3;12.666666666666666;1;0;0
7;13.714285714285714;8;13.5;1;1;1
6;15.75;6;16.153846153846153;1;1;1
6;14.033333333333331;6;14.033333333333331;1;1;1
6;13.666666666666666;7;13.857142857142858;1;1;1
7;13.414285714285716;7;13.414285714285716;1;0;0
7;13.571428571428571;11;13.545454545454543;1;0;1
6;14.428571428571429;6;13.833333333333334;1;1;1
5;12.857142857142858;5;12.0;1;0;1
0;0.0;0;0.0;1;0;0
0;0.0;0;0.0;0;0;0
8;15.287499999999998;7;15.135714285714286;1;1;1
6;10.978571428571428;5;12.74;1;1;0
6;13.166666666666666;6;13.428571428571429;1;1;1
8;11.11111111111111;9;12.555555555555555;1;0;1
6;11.166666666666666;6;11.5;1;0;1
6;12.333333333333334;6;13.666666666666666;1;0;1
10;12.0;11;11.272727272727272;1;0;1
6;14.166666666666666;6;14.666666666666666;1;1;1
5;11.4;5;13.0;0;0;0
2;12.333333333333334;2;10.5;0;0;0
6;14.0;6;14.857142857142858;1;0;1
7;12.86;7;12.86;1;1;1
11;12.0;11;11.727272727272728;1;0;1
3;12.0;6;13.142857142857142;1;1;1
4;13.714285714285714;5;11.8;1;0;0
0;0.0;3;10.666666666666666;1;0;0
7;14.731428571428571;7;14.731428571428571;1;0;1
0;0.0;0;0.0;1;0;1
12;14.25;13;13.615384615384617;1;0;1
5;14.8;5;15.8;1;0;1
6;14.571428571428571;6;14.666666666666666;1;0;1
0;0.0;0;0.0;1;0;0
7;14.654285714285717;7;14.654285714285717;1;1;1
7;12.401428571428571;7;12.401428571428571;1;0;1
7;14.071428571428571;7;11.5875;1;0;1
5;15.6;5;14.0;1;0;1
6;11.833333333333334;6;12.333333333333334;1;1;1
5;15.4;5;14.0;1;0;1
6;12.375;6;15.23076923076923;1;0;1
3;11.0;5;11.6;1;0;0
6;11.6;6;11.6;1;1;1
0;0.0;0;0.0;1;0;0
8;13.094444444444443;7;12.901428571428571;1;1;1
5;14.8;7;14.142857142857142;1;0;1
0;0.0;0;0.0;1;0;0
8;13.25375;8;13.25375;1;0;1
8;14.1;7;13.785714285714286;1;0;1
6;13.916666666666666;6;13.916666666666666;1;0;1
6;13.571428571428571;6;13.5;1;0;1
0;0.0;0;0.0;1;0;0
4;14.6;5;11.5;1;0;1
7;12.082857142857142;7;12.082857142857142;1;1;1
5;12.8;6;11.833333333333334;1;1;1
5;12.4;5;13.4;1;1;1
0;0.0;0;0.0;1;1;0
6;14.571428571428571;5;14.2;1;0;1
7;13.814285714285717;7;13.814285714285717;1;1;1
6;13.666666666666666;6;14.5;1;1;1
0;0.0;0;0.0;1;0;0
6;11.3;6;11.3;1;0;1
7;12.3;7;12.3;1;0;1
7;12.694285714285714;7;12.694285714285714;1;1;1
4;11.0;4;11.0;1;0;1
6;14.166666666666666;6;13.0;1;1;1
8;16.05;7;14.4125;1;1;1
8;14.0625;7;12.92875;1;0;0
5;12.8;6;13.333333333333334;1;0;1
7;14.402857142857142;7;14.402857142857142;1;0;1
7;13.381428571428572;7;13.381428571428572;1;1;1
8;13.98375;7;14.13125;1;0;1
5;12.6;5;11.714285714285714;1;0;1
2;11.0;6;11.166666666666666;1;0;1
0;0.0;0;0.0;1;0;0
5;12.0;5;13.6;1;0;0
11;14.090909090909092;12;13.846153846153848;1;0;1
6;13.333333333333334;6;12.5;1;1;1
5;14.6;5;16.4;1;0;1
11;13.454545454545457;11;13.818181818181818;1;1;1
4;10.5;5;10.6;1;0;1
5;12.2;5;10.2;1;0;1
5;10.8;9;11.444444444444445;1;0;0
13;13.266666666666667;16;13.0;1;1;1
8;13.31;8;13.31;1;1;1
5;12.2;5;10.571428571428571;1;1;1
7;13.487142857142857;7;13.487142857142857;1;1;1
6;11.833333333333334;6;12.333333333333334;1;1;1
5;12.833333333333334;6;11.875;1;0;0
6;13.966666666666669;6;13.966666666666669;1;0;1
0;0.0;0;0.0;0;0;0
5;12.8;4;11.5;1;0;1
0;0.0;2;12.5;1;0;0
0;0.0;0;0.0;1;0;0
7;13.225;6;11.98;1;0;1
8;14.0375;6;11.614285714285714;1;0;1
7;14.314285714285717;7;14.314285714285717;1;1;1
0;0.0;0;0.0;1;0;0
7;12.128571428571428;6;12.766666666666666;1;1;1
5;12.2;6;12.666666666666666;1;1;1
4;10.571428571428571;6;11.5;1;0;0
4;11.75;5;11.4;1;0;0
8;14.4775;7;14.70625;1;1;1
7;13.542857142857144;6;11.814285714285717;1;1;1
6;11.875;6;13.0;1;0;1
6;13.333333333333334;6;14.857142857142858;1;0;1
6;12.6;6;12.6;1;0;1
1;11.0;2;11.5;0;0;0
0;0.0;1;10.0;1;0;0
5;12.2;5;11.8;1;0;1
6;12.666666666666666;5;11.8;1;0;1
8;12.77125;8;12.77125;1;0;1
5;14.6;6;12.666666666666666;1;0;1
0;0.0;1;12.0;0;0;0
7;11.721428571428572;7;11.721428571428572;1;1;1
6;13.666666666666666;6;12.666666666666666;1;0;1
5;14.0;4;13.0;1;0;0
0;0.0;0;0.0;1;0;0
0;0.0;0;0.0;0;0;0
4;11.75;4;12.5;1;0;1
0;0.0;0;0.0;0;0;0
0;0.0;0;0.0;0;0;0
0;0.0;0;0.0;0;0;0
5;12.4;6;12.5;1;0;1
3;11.666666666666666;5;12.8;1;0;0
1;11.0;1;10.0;1;0;0
5;10.2;4;11.25;1;0;0
7;12.61;7;12.61;1;1;1
5;12.6;2;12.0;1;0;1
6;13.5;5;13.0;0;0;1
5;13.0;4;12.0;1;1;1
0;0.0;4;12.0;1;0;0
1;11.0;1;12.0;1;0;0
0;0.0;0;0.0;1;0;1
0;0.0;0;0.0;0;0;0
4;11.75;5;13.625;1;0;0
0;0.0;0;0.0;1;0;0
7;11.69;7;11.69;1;0;1
0;0.0;0;0.0;0;0;0
0;0.0;0;0.0;1;0;1
5;11.285714285714286;4;11.5;1;0;1
0;0.0;1;14.0;1;0;0
5;12.4;5;11.0;1;0;1
6;13.166666666666666;6;12.857142857142858;1;0;1
6;11.333333333333334;4;12.5;1;0;0
8;15.018181818181818;7;14.528571428571428;1;0;1
6;12.625;6;13.0;1;1;1
8;15.188888888888888;7;15.957142857142856;1;1;1
5;11.0;5;13.25;1;0;1
3;12.0;3;12.0;1;0;0
4;13.75;4;13.0;0;0;0
3;13.666666666666666;9;11.77777777777778;1;0;0
0;0.0;2;11.0;1;0;0
0;0.0;0;0.0;1;0;0
6;10.857142857142858;14;12.428571428571429;1;0;0
0;0.0;0;0.0;1;0;1
8;12.5075;8;12.5075;1;0;1
11;12.0;11;12.090909090909092;1;0;1
2;11.333333333333334;1;10.0;1;0;0
5;13.2;6;13.5;1;0;1
6;13.625;6;14.166666666666666;1;0;1
6;14.714285714285714;6;14.0;1;0;1
0;0.0;0;0.0;1;0;0
3;11.333333333333334;3;11.666666666666666;1;0;0
5;14.2;5;14.6;1;0;1
5;11.5;5;13.0;1;0;1
6;12.0;6;12.166666666666666;1;0;1
1;12.0;0;0.0;1;0;0
3;10.8;3;10.5;1;0;0
0;0.0;0;0.0;1;0;1
0;0.0;0;0.0;0;0;0
7;13.828571428571427;7;13.828571428571427;1;0;1
6;11.666666666666666;6;11.5;1;0;1
6;13.625;4;13.5;1;0;1
0;0.0;0;0.0;1;0;0
7;12.614285714285714;7;12.5375;1;0;1
4;12.8;4;12.0;1;0;1
5;11.6;5;11.8;1;0;1
5;15.2;5;15.0;1;1;1
5;13.2;3;12.0;1;0;1
6;12.285714285714286;6;12.833333333333334;1;1;1
3;12.0;6;11.666666666666666;1;0;1
8;13.825;7;12.1625;1;0;1
6;14.555555555555555;6;13.833333333333334;1;0;1
6;13.571428571428571;6;12.125;1;1;1
11;11.545454545454543;11;11.454545454545457;1;0;0
3;10.0;4;12.0;0;1;0
5;12.6;6;12.666666666666666;0;0;0
6;13.77777777777778;6;12.666666666666666;1;0;1
13;11.461538461538462;18;11.88888888888889;1;0;1
0;0.0;0;0.0;1;0;0
4;11.6;4;13.0;0;0;0
8;15.744444444444444;7;16.885714285714283;1;0;1
6;12.333333333333334;6;12.5;1;0;1
8;15.8125;7;13.055555555555555;1;1;1
0;0.0;0;0.0;0;0;0
0;0.0;0;0.0;1;1;0
7;12.355714285714283;7;12.355714285714283;1;1;1
0;0.0;0;0.0;1;0;0
7;12.571428571428571;7;13.857142857142858;1;1;1
6;14.166666666666666;5;13.0;1;0;1
6;11.166666666666666;6;12.833333333333334;1;0;1
7;12.357142857142858;7;12.357142857142858;1;1;1
7;13.857142857142858;7;13.857142857142858;1;1;1
6;10.666666666666666;6;12.333333333333334;1;1;1
8;13.788888888888888;7;12.847142857142858;1;0;1
8;13.01875;6;12.339999999999998;1;1;1
6;12.5;6;13.833333333333334;1;0;1
2;10.0;2;10.75;1;0;0
4;10.25;4;13.25;1;0;0
8;13.73125;8;13.73125;1;1;1
3;12.666666666666666;6;13.333333333333334;1;1;0
5;10.8;5;12.0;1;0;0
6;11.333333333333334;9;10.88888888888889;1;0;1
8;13.811111111111112;7;13.025;1;0;1
6;14.166666666666666;6;13.0;1;0;1
5;12.0;5;11.8;1;0;1
7;12.042857142857144;7;12.042857142857144;1;1;1
8;15.5;7;12.8375;1;1;1
7;11.7;7;11.0;1;1;1
5;14.0;6;13.5;1;1;1
6;12.714285714285714;6;12.125;1;1;1
7;12.62857142857143;7;12.62857142857143;1;1;1
5;11.6;5;11.2;1;0;1
6;11.833333333333334;6;12.666666666666666;1;1;0
0;0.0;4;13.5;0;0;0
0;0.0;0;0.0;0;0;0
5;14.833333333333334;5;12.0;1;0;1
8;13.2125;7;12.228571428571428;1;0;1
4;10.75;4;11.5;1;0;1
6;16.428571428571427;6;15.375;1;0;1
7;12.614285714285714;7;12.614285714285714;1;0;1
6;11.5;5;12.2;1;1;1
4;11.0;4;11.75;1;0;1
11;11.454545454545457;13;10.923076923076923;1;0;1
5;12.4;5;12.4;1;0;1
0;0.0;0;0.0;1;0;0
6;15.5;6;15.833333333333334;1;0;1
6;13.666666666666666;6;12.571428571428571;1;0;1
4;13.25;3;12.0;1;0;1
8;14.444444444444445;7;13.3625;1;0;1
5;16.0;5;15.4;1;1;1
4;11.75;5;12.2;0;0;0
11;13.545454545454543;11;12.818181818181818;1;1;1
0;0.0;0;0.0;1;0;0
17;13.554736842105264;17;13.394736842105264;1;0;1
6;11.0;6;14.25;1;1;1
7;14.714285714285714;9;13.444444444444445;1;0;0
8;11.7375;7;12.285714285714286;1;1;1
5;13.2;6;11.666666666666666;1;0;1
6;13.5;6;12.166666666666666;1;0;1
2;11.0;2;10.0;1;0;0
6;15.0;6;14.0;1;0;1
0;0.0;1;15.0;0;0;0
0;0.0;0;0.0;1;1;1
6;10.666666666666666;6;10.833333333333334;1;0;1
6;14.0;6;13.142857142857142;1;1;1
5;14.0;5;14.4;0;1;0
0;0.0;0;0.0;0;0;0
9;11.22222222222222;7;12.0;1;0;1
10;12.8;9;12.2;1;0;1
2;11.0;3;12.333333333333334;0;0;0
8;12.48125;7;11.8375;1;0;1
5;14.0;5;11.8;1;0;1
0;0.0;0;0.0;0;0;0
0;0.0;0;0.0;1;0;0
13;12.384615384615383;19;12.68421052631579;1;0;1
0;0.0;3;11.25;0;0;0
4;15.5;4;14.0;1;0;1
2;13.5;4;13.333333333333334;1;0;0
6;13.666666666666666;6;13.666666666666666;1;0;1
6;11.714285714285714;5;12.6;1;0;1
1;17.0;3;17.333333333333332;1;0;0
3;13.666666666666666;3;14.0;1;0;0
1;12.5;4;13.875;1;0;0
0;0.0;0;0.0;1;0;0
7;14.857142857142858;9;13.11111111111111;1;0;1
4;13.333333333333334;5;13.0;1;1;0
7;12.142857142857142;10;12.5;1;0;1
13;14.23076923076923;18;14.11111111111111;1;0;1
9;15.77777777777778;11;14.727272727272728;1;0;1
0;0.0;0;0.0;0;0;0
0;0.0;0;0.0;1;0;0
0;0.0;0;0.0;0;0;0
5;11.6;4;13.5;1;0;1
7;13.105714285714283;7;13.105714285714283;1;0;1
5;14.4;5;13.5;1;0;1
11;12.0;13;11.846153846153848;1;0;1
0;0.0;0;0.0;1;0;0
0;0.0;3;14.333333333333334;0;0;0
3;12.0;6;12.666666666666666;1;0;0
0;0.0;0;0.0;1;0;1
0;0.0;1;11.0;0;0;0
0;0.0;0;0.0;0;0;0
8;16.575;7;15.2;1;0;1
7;14.375;6;14.428571428571429;1;0;1
0;0.0;0;0.0;1;0;0
0;0.0;0;0.0;1;0;1
3;12.0;5;12.166666666666666;0;1;0
5;11.666666666666666;5;12.142857142857142;1;0;1
5;11.6;6;12.0;1;0;1
4;12.75;3;11.666666666666666;1;0;1
0;0.0;0;0.0;1;0;0
5;12.0;6;11.875;1;0;1
3;11.333333333333334;2;10.0;1;0;0
5;13.0;6;13.833333333333334;1;0;0
0;0.0;0;0.0;1;0;0
6;12.5;6;14.428571428571429;1;0;1
6;12.4;5;14.2;1;0;0
3;10.333333333333334;4;11.5;1;0;0
6;15.0;5;13.0;1;0;1
0;0.0;0;0.0;0;0;0
2;11.0;3;11.333333333333334;0;0;0
12;11.428571428571429;18;12.5;1;0;1
0;0.0;0;0.0;1;0;0
8;13.944444444444445;7;13.471428571428572;1;0;1
3;13.333333333333334;4;11.75;1;0;1
6;14.666666666666666;6;13.333333333333334;1;1;1
8;13.105;8;13.105;1;1;1
0;0.0;0;0.0;0;0;0
6;12.166666666666666;6;15.5;1;1;1
0;0.0;0;0.0;0;0;0
3;12.333333333333334;4;11.25;0;0;0
11;11.363636363636363;12;11.0;0;0;0
4;13.0;6;12.333333333333334;1;0;1
5;11.8;8;11.375;1;0;1
12;12.384615384615383;18;12.22222222222222;1;0;1
6;12.0;9;12.0;1;0;1
10;13.0;16;14.125;1;0;1
7;12.571428571428571;9;12.333333333333334;1;0;1
7;13.857142857142858;9;14.333333333333334;1;0;1
6;14.0;6;15.166666666666666;1;0;1
6;15.142857142857142;6;15.142857142857142;1;1;1
0;0.0;0;0.0;1;0;0
6;12.166666666666666;6;12.333333333333334;1;0;1
3;12.0;6;12.0;1;0;0
6;15.625;6;15.0;1;0;1
9;12.7;8;13.875;1;0;0
6;13.833333333333334;6;12.5;1;1;1
6;15.5;6;15.0;1;1;1
4;10.5;2;11.666666666666666;1;0;0
8;14.63375;7;14.668;1;1;1
6;12.333333333333334;5;12.8;1;1;1
6;12.142857142857142;6;10.833333333333334;1;0;1
5;14.0;6;13.666666666666666;1;0;1
7;14.537142857142856;7;14.537142857142856;1;0;1
5;14.0;5;14.4;1;1;0
0;0.0;0;0.0;1;1;1
6;13.833333333333334;6;13.166666666666666;1;1;1
0;0.0;2;11.5;0;0;0
6;12.428571428571429;6;11.333333333333334;1;1;1
5;13.6;6;12.0;1;0;1
6;12.166666666666666;6;13.166666666666666;1;1;1
6;14.166666666666666;6;14.833333333333334;1;1;1
9;13.22222222222222;7;13.0;1;0;1
